,spot_idx,longitude,latitude,utmk_x,utmk_y,year,month,이전 3달 평균 250m 사고빈도,전년도 같은 달 250m 사고빈도,전년도 평균 250m 사고빈도,3년 평균 250m 사고빈도,1500m 내 공사 수,2000m 내 대규모 공사,predicted,rounded_predicted,acci_rate
6142,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2019,11,0.0,0,0.16666666666666666,0.3055555555555556,9,1,0.07185523854131892,0.0,1
6143,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2019,12,0.3333333333333333,0,0.16666666666666666,0.3055555555555556,9,1,0.07277182891796397,0.0,1
6144,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2020,1,0.6666666666666666,1,0.16666666666666666,0.2777777777777778,5,1,0.0349435446637516,0.0,0
6145,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2020,2,0.6666666666666666,0,0.4166666666666667,0.3055555555555556,6,1,0.1074967817792376,0.0,0
6146,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2020,3,0.3333333333333333,1,0.4166666666666667,0.2777777777777778,6,1,0.03546336807818662,0.0,0
6147,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2020,4,0.0,2,0.4166666666666667,0.2777777777777778,6,1,0.14881908694553658,0.0,0
6148,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2020,5,0.0,0,0.4166666666666667,0.3333333333333333,6,1,0.08860381251909244,0.0,0
6149,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2020,6,0.0,1,0.4166666666666667,0.3333333333333333,6,1,0.05815621643162361,0.0,1
6150,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2020,7,0.3333333333333333,0,0.5,0.3611111111111111,7,1,0.1140469894950562,0.0,0
6151,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2020,8,0.3333333333333333,0,0.5833333333333334,0.3055555555555556,7,1,0.09276435726837384,0.0,1
6152,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2020,9,0.6666666666666666,0,0.08333333333333333,0.3055555555555556,9,1,0.09820177065556024,0.0,0
6153,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2020,10,0.3333333333333333,0,0.08333333333333333,0.3055555555555556,7,1,0.07574164551725326,0.0,2
6154,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2020,11,1.0,1,0.16666666666666666,0.3055555555555556,7,1,0.14012011468917374,0.0,1
6155,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2020,12,1.0,1,0.3333333333333333,0.3055555555555556,6,1,0.12428183354662803,0.0,2
6156,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2021,1,1.6666666666666667,0,0.3333333333333333,0.3333333333333333,5,1,0.2671087068856588,0.0,0
6157,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2021,2,1.0,0,0.5833333333333334,0.3333333333333333,5,1,0.18928035917939479,0.0,0
6158,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2021,3,0.6666666666666666,0,0.5833333333333334,0.3333333333333333,6,1,0.14392321139280195,0.0,1
6159,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2021,4,0.3333333333333333,0,0.5833333333333334,0.3333333333333333,7,1,0.10639900871404206,0.0,0
6160,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2021,5,0.3333333333333333,0,0.4166666666666667,0.3333333333333333,7,1,0.09412022607204262,0.0,0
6161,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2021,6,0.3333333333333333,1,0.5833333333333334,0.3055555555555556,7,1,0.06814285916500795,0.0,0
6162,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2021,7,0.0,0,0.5833333333333334,0.3333333333333333,7,1,0.08740421272855148,0.0,1
6163,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2021,8,0.3333333333333333,1,0.75,0.3333333333333333,6,2,0.1869833305921733,0.0,1
6164,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2021,9,0.6666666666666666,0,0.16666666666666666,0.3611111111111111,4,1,0.09980665053539539,0.0,0
6165,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2021,10,0.6666666666666666,2,0.16666666666666666,0.3333333333333333,5,1,0.16640813552421463,0.0,0
6166,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2021,11,0.3333333333333333,1,0.16666666666666666,0.3611111111111111,4,1,0.04940428454673329,0.0,0
6167,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2021,12,0.0,2,0.08333333333333333,0.3888888888888889,3,1,0.18175663636600348,0.0,2
6168,42,126.88112490340268,37.42763120009555,945433.9844138784,1936370.941370026,2022,1,0.6666666666666666,0,0.0,0.4444444444444444,4,1,0.13870724936809786,0.0,0
